product_id,product_name,category,subcategory,brand,supplier_id,sourcing_country,cost_price,selling_price,reorder_level,active_flag
PROD00073,HomePro Plant Care Product 073,Garden & Outdoor,Plant Care,HomePro,SUP00008,China,43.32,78.02,19,True
PROD00074,TradeSelect Exterior Paint Product 074,Paints & Decorating,Exterior Paint,TradeSelect,SUP00020,China,20.22,37.35,70,True
PROD00075,ValuePlus Switches Product 075,Electrical,Switches,ValuePlus,SUP00003,China,20.02,39.04,72,True
PROD00076,ValuePlus Lighting Product 076,Electrical,Lighting,ValuePlus,SUP00039,UK,93.93,177.46,26,True
PROD00077,TradeSelect Skincare Product 077,Health & Beauty,Skincare,TradeSelect,SUP00015,China,55.28,69.77,99,True
PROD00078,Everyday Essentials Garden Tools Product 078,Garden & Outdoor,Garden Tools,Everyday Essentials,SUP00027,India,17.58,25.1,71,True
PROD00079,PrimeChoice Kitchen Product 079,Homeware,Kitchen,PrimeChoice,SUP00020,China,35.22,46.77,81,True
PROD00080,PrimeChoice Interior Paint Product 080,Paints & Decorating,Interior Paint,PrimeChoice,SUP00025,India,40.12,63.34,93,True
PROD00081,PrimeChoice Hair Care Product 081,Health & Beauty,Hair Care,PrimeChoice,SUP00017,China,81.15,127.83,33,True
PROD00082,PrimeChoice Interior Paint Product 082,Paints & Decorating,Interior Paint,PrimeChoice,SUP00010,China,91.06,138.63,36,True
PROD00083,ValuePlus Bathroom Product 083,Homeware,Bathroom,ValuePlus,SUP00011,China,95.92,184.07,81,True
PROD00084,TradeSelect Garden Tools Product 084,Garden & Outdoor,Garden Tools,TradeSelect,SUP00023,India,26.57,49.21,17,True
PROD00085,ValuePlus BBQ Product 085,Garden & Outdoor,BBQ,ValuePlus,SUP00033,UK,92.8,141.61,84,True
PROD00086,Everyday Essentials Kitchen Product 086,Homeware,Kitchen,Everyday Essentials,SUP00016,China,102.57,142.35,41,True
PROD00087,Everyday Essentials Cat Care Product 087,Pet Care,Cat Care,Everyday Essentials,SUP00040,UK,69.7,124.54,26,True
PROD00088,HomePro Dog Care Product 088,Pet Care,Dog Care,HomePro,SUP00010,China,21.56,31.21,46,True
PROD00089,ValuePlus Skincare Product 089,Health & Beauty,Skincare,ValuePlus,SUP00015,China,62.91,99.7,13,True
PROD00090,HomePro Switches Product 090,Electrical,Switches,HomePro,SUP00014,China,65.54,125.29,49,True
PROD00091,ValuePlus Wellness Product 091,Health & Beauty,Wellness,ValuePlus,SUP00003,China,35.39,56.89,82,True
PROD00092,PrimeChoice Cleaning Product 092,Homeware,Cleaning,PrimeChoice,SUP00037,UK,75.09,90.87,98,True
PROD00093,HomePro BBQ Product 093,Garden & Outdoor,BBQ,HomePro,SUP00017,China,47.1,78.36,75,True
PROD00094,PrimeChoice Wellness Product 094,Health & Beauty,Wellness,PrimeChoice,SUP00017,China,82.1,100.19,50,True
PROD00095,TradeSelect Skincare Product 095,Health & Beauty,Skincare,TradeSelect,SUP00031,India,110.22,153.36,87,True
PROD00096,PrimeChoice Hair Care Product 096,Health & Beauty,Hair Care,PrimeChoice,SUP00014,China,28.02,47.19,21,True
PROD00097,PrimeChoice Bathroom Product 097,Homeware,Bathroom,PrimeChoice,SUP00015,China,115.57,154.85,62,True
PROD00098,TradeSelect Interior Paint Product 098,Paints & Decorating,Interior Paint,TradeSelect,SUP00023,India,65.43,84.39,58,True
PROD00099,TradeSelect Bathroom Product 099,Homeware,Bathroom,TradeSelect,SUP00027,India,10.55,18.65,97,True
PROD00100,ValuePlus Cables Product 100,Electrical,Cables,ValuePlus,SUP00022,India,76.08,149.79,86,True
PROD00101,Everyday Essentials Bathroom Product 101,Homeware,Bathroom,Everyday Essentials,SUP00010,China,119.35,174.58,99,True
PROD00102,TradeSelect BBQ Product 102,Garden & Outdoor,BBQ,TradeSelect,SUP00009,China,83.97,115.41,31,True
PROD00103,SmartBuy Wallpaper Product 103,Paints & Decorating,Wallpaper,SmartBuy,SUP00039,UK,24.71,43.62,71,True
PROD00104,ValuePlus Interior Paint Product 104,Paints & Decorating,Interior Paint,ValuePlus,SUP00022,India,97.35,177.25,47,True
PROD00105,HomePro Cleaning Product 105,Homeware,Cleaning,HomePro,SUP00010,China,68.47,100.04,72,True
PROD00106,PrimeChoice Garden Tools Product 106,Garden & Outdoor,Garden Tools,PrimeChoice,SUP00009,China,28.46,46.56,28,True
PROD00107,HomePro Personal Care Product 107,Health & Beauty,Personal Care,HomePro,SUP00015,China,74.34,135.69,55,True
PROD00108,SmartBuy Bathroom Product 108,Homeware,Bathroom,SmartBuy,SUP00004,China,46.01,89.59,75,True
PROD00109,PrimeChoice BBQ Product 109,Garden & Outdoor,BBQ,PrimeChoice,SUP00016,China,63.48,109.14,63,True
PROD00110,Everyday Essentials Dog Care Product 110,Pet Care,Dog Care,Everyday Essentials,SUP00016,China,38.98,69.75,62,True
PROD00111,Everyday Essentials Pet Accessories Product 111,Pet Care,Pet Accessories,Everyday Essentials,SUP00011,China,93.28,132.47,55,True
PROD00112,HomePro Outdoor Furniture Product 112,Garden & Outdoor,Outdoor Furniture,HomePro,SUP00006,China,15.08,25.43,80,True
PROD00113,PrimeChoice Wallpaper Product 113,Paints & Decorating,Wallpaper,PrimeChoice,SUP00006,China,56.91,101.19,83,True
PROD00114,PrimeChoice Plant Care Product 114,Garden & Outdoor,Plant Care,PrimeChoice,SUP00012,China,39.01,50.29,79,True
PROD00115,Everyday Essentials Small Electrical Product 115,Electrical,Small Electrical,Everyday Essentials,SUP00020,China,93.81,182.52,50,True
PROD00116,ValuePlus Personal Care Product 116,Health & Beauty,Personal Care,ValuePlus,SUP00039,UK,17.71,31.9,86,True
PROD00117,HomePro Personal Care Product 117,Health & Beauty,Personal Care,HomePro,SUP00024,India,97.57,152.39,21,True
PROD00118,SmartBuy BBQ Product 118,Garden & Outdoor,BBQ,SmartBuy,SUP00031,India,50.99,67.18,13,True
PROD00119,HomePro Cables Product 119,Electrical,Cables,HomePro,SUP00011,China,11.82,23.43,29,True
PROD00120,Everyday Essentials Cables Product 120,Electrical,Cables,Everyday Essentials,SUP00021,India,109.58,187.26,51,True
PROD00121,HomePro Small Electrical Product 121,Electrical,Small Electrical,HomePro,SUP00003,China,72.97,127.34,63,True
PROD00122,SmartBuy Dog Care Product 122,Pet Care,Dog Care,SmartBuy,SUP00026,India,60.08,79.1,94,True
PROD00123,SmartBuy Switches Product 123,Electrical,Switches,SmartBuy,SUP00002,China,10.5,14.35,97,True
PROD00124,TradeSelect Dog Care Product 124,Pet Care,Dog Care,TradeSelect,SUP00022,India,32.58,51.14,94,True
PROD00125,ValuePlus Bathroom Product 125,Homeware,Bathroom,ValuePlus,SUP00004,China,70.43,90.57,44,True
PROD00126,ValuePlus BBQ Product 126,Garden & Outdoor,BBQ,ValuePlus,SUP00001,China,93.41,168.81,57,True
PROD00127,SmartBuy Interior Paint Product 127,Paints & Decorating,Interior Paint,SmartBuy,SUP00009,China,71.25,100.63,38,True
PROD00128,Everyday Essentials Bathroom Product 128,Homeware,Bathroom,Everyday Essentials,SUP00037,UK,104.87,207.41,10,True
PROD00129,PrimeChoice Brushes & Rollers Product 129,Paints & Decorating,Brushes & Rollers,PrimeChoice,SUP00038,UK,82.79,142.31,75,True
PROD00130,PrimeChoice Outdoor Furniture Product 130,Garden & Outdoor,Outdoor Furniture,PrimeChoice,SUP00024,India,50.93,79.11,48,True
PROD00131,Everyday Essentials Hair Care Product 131,Health & Beauty,Hair Care,Everyday Essentials,SUP00014,China,18.56,33.92,74,True
PROD00132,TradeSelect Bathroom Product 132,Homeware,Bathroom,TradeSelect,SUP00012,China,75.66,148.14,74,True
PROD00133,Everyday Essentials Plant Care Product 133,Garden & Outdoor,Plant Care,Everyday Essentials,SUP00011,China,8.02,15.73,68,True
PROD00134,PrimeChoice Wallpaper Product 134,Paints & Decorating,Wallpaper,PrimeChoice,SUP00015,China,13.23,17.48,12,True
PROD00135,ValuePlus Plant Care Product 135,Garden & Outdoor,Plant Care,ValuePlus,SUP00009,China,34.12,65.54,16,True
PROD00136,HomePro Pet Accessories Product 136,Pet Care,Pet Accessories,HomePro,SUP00004,China,7.39,13.16,83,True
PROD00137,ValuePlus Brushes & Rollers Product 137,Paints & Decorating,Brushes & Rollers,ValuePlus,SUP00030,India,20.2,25.72,100,True
PROD00138,ValuePlus Outdoor Furniture Product 138,Garden & Outdoor,Outdoor Furniture,ValuePlus,SUP00014,China,97.02,159.61,78,True
PROD00139,Everyday Essentials Bathroom Product 139,Homeware,Bathroom,Everyday Essentials,SUP00004,China,22.75,39.1,12,True
PROD00140,SmartBuy Skincare Product 140,Health & Beauty,Skincare,SmartBuy,SUP00012,China,75.98,121.3,55,True
PROD00141,PrimeChoice Storage Product 141,Homeware,Storage,PrimeChoice,SUP00026,India,5.06,7.3,56,True
PROD00142,HomePro Pet Accessories Product 142,Pet Care,Pet Accessories,HomePro,SUP00016,China,106.53,147.07,35,True
PROD00143,SmartBuy BBQ Product 143,Garden & Outdoor,BBQ,SmartBuy,SUP00015,China,64.12,84.1,74,True
PROD00144,TradeSelect Storage Product 144,Homeware,Storage,TradeSelect,SUP00003,China,69.23,112.05,23,True
PROD00145,PrimeChoice Exterior Paint Product 145,Paints & Decorating,Exterior Paint,PrimeChoice,SUP00019,China,51.41,79.04,83,True
PROD00146,HomePro Skincare Product 146,Health & Beauty,Skincare,HomePro,SUP00032,India,119.82,233.11,87,True
PROD00147,Everyday Essentials Cleaning Product 147,Homeware,Cleaning,Everyday Essentials,SUP00001,China,77.82,134.22,73,True
PROD00148,SmartBuy Dog Care Product 148,Pet Care,Dog Care,SmartBuy,SUP00018,China,40.81,63.02,70,True
PROD00149,ValuePlus Cleaning Product 149,Homeware,Cleaning,ValuePlus,SUP00027,India,113.69,224.83,68,True
PROD00150,TradeSelect Bathroom Product 150,Homeware,Bathroom,TradeSelect,SUP00030,India,113.6,179.4,68,True
PROD00151,HomePro Cat Care Product 151,Pet Care,Cat Care,HomePro,SUP00015,China,89.58,148.2,95,False
PROD00152,Everyday Essentials Storage Product 152,Homeware,Storage,Everyday Essentials,SUP00002,China,45.6,63.68,82,True
PROD00153,ValuePlus Exterior Paint Product 153,Paints & Decorating,Exterior Paint,ValuePlus,SUP00032,India,59.19,108.04,55,True
PROD00154,Everyday Essentials Hair Care Product 154,Health & Beauty,Hair Care,Everyday Essentials,SUP00020,China,41.63,79.38,31,False
PROD00155,SmartBuy Cat Care Product 155,Pet Care,Cat Care,SmartBuy,SUP00023,India,2.98,4.57,14,True
PROD00156,HomePro Personal Care Product 156,Health & Beauty,Personal Care,HomePro,SUP00037,UK,88.3,176.19,28,True
PROD00157,PrimeChoice Storage Product 157,Homeware,Storage,PrimeChoice,SUP00032,India,10.04,18.92,68,True
PROD00158,Everyday Essentials Wallpaper Product 158,Paints & Decorating,Wallpaper,Everyday Essentials,SUP00039,UK,102.67,123.92,31,True
PROD00159,TradeSelect Small Electrical Product 159,Electrical,Small Electrical,TradeSelect,SUP00028,India,23.22,41.1,50,True
PROD00160,TradeSelect BBQ Product 160,Garden & Outdoor,BBQ,TradeSelect,SUP00009,China,107.39,205.14,80,True
PROD00161,SmartBuy BBQ Product 161,Garden & Outdoor,BBQ,SmartBuy,SUP00026,India,108.79,145.22,16,True
PROD00162,TradeSelect Hair Care Product 162,Health & Beauty,Hair Care,TradeSelect,SUP00019,China,114.6,225.07,23,True
PROD00163,SmartBuy Skincare Product 163,Health & Beauty,Skincare,SmartBuy,SUP00011,China,73.67,128.07,88,True
PROD00164,TradeSelect Interior Paint Product 164,Paints & Decorating,Interior Paint,TradeSelect,SUP00018,China,84.53,138.75,11,True
PROD00165,PrimeChoice Kitchen Product 165,Homeware,Kitchen,PrimeChoice,SUP00003,China,6.67,11.05,76,True
PROD00166,PrimeChoice Interior Paint Product 166,Paints & Decorating,Interior Paint,PrimeChoice,SUP00024,India,89.62,173.59,84,True
PROD00167,PrimeChoice Brushes & Rollers Product 167,Paints & Decorating,Brushes & Rollers,PrimeChoice,SUP00006,China,113.33,181.7,53,True
PROD00168,SmartBuy Cat Care Product 168,Pet Care,Cat Care,SmartBuy,SUP00031,India,56.39,69.09,43,True
PROD00169,HomePro Wellness Product 169,Health & Beauty,Wellness,HomePro,SUP00008,China,109.98,181.16,40,True
PROD00170,Everyday Essentials Outdoor Furniture Product 170,Garden & Outdoor,Outdoor Furniture,Everyday Essentials,SUP00023,India,116.77,205.51,75,False
PROD00171,Everyday Essentials Lighting Product 171,Electrical,Lighting,Everyday Essentials,SUP00021,India,61.99,103.74,25,True
PROD00172,PrimeChoice Wellness Product 172,Health & Beauty,Wellness,PrimeChoice,SUP00024,India,26.31,40.55,39,True
PROD00173,ValuePlus Skincare Product 173,Health & Beauty,Skincare,ValuePlus,SUP00028,India,23.74,43.24,82,True
PROD00174,TradeSelect Wellness Product 174,Health & Beauty,Wellness,TradeSelect,SUP00004,China,101.09,123.99,83,True
PROD00175,ValuePlus Outdoor Furniture Product 175,Garden & Outdoor,Outdoor Furniture,ValuePlus,SUP00001,China,17.42,30.63,66,True
PROD00176,HomePro Exterior Paint Product 176,Paints & Decorating,Exterior Paint,HomePro,SUP00022,India,37.79,45.64,52,True
PROD00177,TradeSelect Cat Care Product 177,Pet Care,Cat Care,TradeSelect,SUP00003,China,111.93,167.83,11,True
PROD00178,ValuePlus Small Electrical Product 178,Electrical,Small Electrical,ValuePlus,SUP00008,China,8.42,10.77,31,True
PROD00179,HomePro Pet Food Product 179,Pet Care,Pet Food,HomePro,SUP00036,UK,97.28,168.16,83,True
PROD00180,TradeSelect Switches Product 180,Electrical,Switches,TradeSelect,SUP00006,China,44.98,83.61,53,True
PROD00181,PrimeChoice Plant Care Product 181,Garden & Outdoor,Plant Care,PrimeChoice,SUP00017,China,66.48,118.42,57,True
PROD00182,ValuePlus Brushes & Rollers Product 182,Paints & Decorating,Brushes & Rollers,ValuePlus,SUP00029,India,44.65,65.97,85,True
PROD00183,ValuePlus Plant Care Product 183,Garden & Outdoor,Plant Care,ValuePlus,SUP00029,India,72.05,114.39,19,True
PROD00184,Everyday Essentials Exterior Paint Product 184,Paints & Decorating,Exterior Paint,Everyday Essentials,SUP00033,UK,72.08,139.41,12,True
PROD00185,ValuePlus Bathroom Product 185,Homeware,Bathroom,ValuePlus,SUP00026,India,21.74,42.57,20,True
PROD00186,ValuePlus Plant Care Product 186,Garden & Outdoor,Plant Care,ValuePlus,SUP00013,China,91.13,157.64,39,True
PROD00187,TradeSelect Wallpaper Product 187,Paints & Decorating,Wallpaper,TradeSelect,SUP00038,UK,11.35,15.5,60,True
PROD00188,Everyday Essentials Lighting Product 188,Electrical,Lighting,Everyday Essentials,SUP00005,China,97.66,176.48,51,True
PROD00189,SmartBuy Storage Product 189,Homeware,Storage,SmartBuy,SUP00017,China,8.19,12.85,65,True
PROD00190,PrimeChoice Outdoor Furniture Product 190,Garden & Outdoor,Outdoor Furniture,PrimeChoice,SUP00026,India,46.44,74.69,78,True
PROD00191,TradeSelect Kitchen Product 191,Homeware,Kitchen,TradeSelect,SUP00019,China,45.16,66.42,80,True
PROD00192,HomePro Cat Care Product 192,Pet Care,Cat Care,HomePro,SUP00014,China,6.0,7.95,54,True
PROD00193,HomePro Wellness Product 193,Health & Beauty,Wellness,HomePro,SUP00038,UK,58.58,70.94,47,True
PROD00194,TradeSelect Bathroom Product 194,Homeware,Bathroom,TradeSelect,SUP00003,China,79.58,141.52,78,True
PROD00195,ValuePlus Bathroom Product 195,Homeware,Bathroom,ValuePlus,SUP00008,China,15.5,28.81,12,False
PROD00196,TradeSelect Cleaning Product 196,Homeware,Cleaning,TradeSelect,SUP00033,UK,71.31,123.5,54,True
PROD00197,Everyday Essentials Small Electrical Product 197,Electrical,Small Electrical,Everyday Essentials,SUP00014,China,82.63,138.37,80,True
PROD00198,Everyday Essentials Hair Care Product 198,Health & Beauty,Hair Care,Everyday Essentials,SUP00021,India,29.48,58.82,86,True
PROD00199,PrimeChoice Hair Care Product 199,Health & Beauty,Hair Care,PrimeChoice,SUP00038,UK,45.13,82.67,96,True
PROD00200,PrimeChoice Outdoor Furniture Product 200,Garden & Outdoor,Outdoor Furniture,PrimeChoice,SUP00033,UK,51.64,81.39,49,True
PROD00201,PrimeChoice Cat Care Product 201,Pet Care,Cat Care,PrimeChoice,SUP00036,UK,77.04,95.19,34,True
PROD00202,PrimeChoice Cat Care Product 202,Pet Care,Cat Care,PrimeChoice,SUP00015,China,14.2,20.81,46,False
PROD00203,SmartBuy Cables Product 203,Electrical,Cables,SmartBuy,SUP00031,India,38.68,70.83,36,True
PROD00204,SmartBuy Interior Paint Product 204,Paints & Decorating,Interior Paint,SmartBuy,SUP00019,China,77.04,152.4,88,True
PROD00205,TradeSelect BBQ Product 205,Garden & Outdoor,BBQ,TradeSelect,SUP00023,India,97.15,161.75,84,True
PROD00206,ValuePlus Small Electrical Product 206,Electrical,Small Electrical,ValuePlus,SUP00032,India,22.85,36.54,14,True
PROD00207,HomePro Kitchen Product 207,Homeware,Kitchen,HomePro,SUP00012,China,16.15,25.14,97,True
PROD00208,ValuePlus Personal Care Product 208,Health & Beauty,Personal Care,ValuePlus,SUP00026,India,103.96,170.63,35,True
PROD00209,TradeSelect Pet Accessories Product 209,Pet Care,Pet Accessories,TradeSelect,SUP00039,UK,55.14,67.02,78,True
PROD00210,HomePro Lighting Product 210,Electrical,Lighting,HomePro,SUP00002,China,11.86,17.7,73,True
PROD00211,PrimeChoice Kitchen Product 211,Homeware,Kitchen,PrimeChoice,SUP00031,India,15.04,18.54,34,True
PROD00212,PrimeChoice Switches Product 212,Electrical,Switches,PrimeChoice,SUP00027,India,26.65,37.98,65,True
PROD00213,SmartBuy Plant Care Product 213,Garden & Outdoor,Plant Care,SmartBuy,SUP00023,India,45.71,84.13,32,True
PROD00214,TradeSelect Brushes & Rollers Product 214,Paints & Decorating,Brushes & Rollers,TradeSelect,SUP00004,China,61.41,101.91,34,True
PROD00215,SmartBuy Outdoor Furniture Product 215,Garden & Outdoor,Outdoor Furniture,SmartBuy,SUP00019,China,27.14,52.29,14,True
PROD00216,Everyday Essentials Kitchen Product 216,Homeware,Kitchen,Everyday Essentials,SUP00020,China,99.55,137.73,49,True
PROD00217,HomePro Garden Tools Product 217,Garden & Outdoor,Garden Tools,HomePro,SUP00005,China,68.1,127.42,50,True
PROD00218,HomePro Switches Product 218,Electrical,Switches,HomePro,SUP00032,India,94.35,183.93,79,False
PROD00219,Everyday Essentials Plant Care Product 219,Garden & Outdoor,Plant Care,Everyday Essentials,SUP00022,India,43.1,61.18,90,True
